time,altitude,latitude,longitude,chlorophyll
UTC,m,degrees_north,degrees_east,mg m-3
2022-05-16T12:00:00Z,0.0,48.1,-122.69999999999999,NaN
2022-05-16T12:00:00Z,0.0,48.125,-123.30000000000001,13.628569
2022-05-16T12:00:00Z,0.0,48.125,-123.275,3.803214
2022-05-16T12:00:00Z,0.0,48.125,-123.25,4.485269
2022-05-16T12:00:00Z,0.0,48.125,-123.225,NaN
2022-05-16T12:00:00Z,0.0,48.125,-123.19999999999999,NaN
2022-05-16T12:00:00Z,0.0,48.125,-123.17500000000001,NaN
2022-05-16T12:00:00Z,0.0,48.125,-123.15,NaN
2022-05-16T12:00:00Z,0.0,48.125,-123.125,NaN
2022-05-16T12:00:00Z,0.0,48.125,-123.1,NaN
2022-05-16T12:00:00Z,0.0,48.125,-123.07499999999999,5.4855795
2022-05-16T12:00:00Z,0.0,48.125,-123.05000000000001,3.3725448
2022-05-16T12:00:00Z,0.0,48.125,-123.025,1.4329609
2022-05-16T12:00:00Z,0.0,48.125,-123.0,5.489312
2022-05-16T12:00:00Z,0.0,48.125,-122.975,1.8911321
2022-05-16T12:00:00Z,0.0,48.125,-122.94999999999999,3.9236255
2022-05-16T12:00:00Z,0.0,48.125,-122.92500000000001,2.3508518
2022-05-16T12:00:00Z,0.0,48.125,-122.9,2.5695207
2022-05-16T12:00:00Z,0.0,48.125,-122.875,2.3960774
2022-05-16T12:00:00Z,0.0,48.125,-122.85,NaN
2022-05-16T12:00:00Z,0.0,48.125,-122.82499999999999,NaN
2022-05-16T12:00:00Z,0.0,48.125,-122.80000000000001,NaN
2022-05-16T12:00:00Z,0.0,48.125,-122.775,NaN
2022-05-16T12:00:00Z,0.0,48.125,-122.75,2.4715488
2022-05-16T12:00:00Z,0.0,48.125,-122.725,3.266729
2022-05-16T12:00:00Z,0.0,48.125,-122.69999999999999,5.631801
2022-05-16T12:00:00Z,0.0,48.15,-123.30000000000001,1.1655376
2022-05-16T12:00:00Z,0.0,48.15,-123.275,1.0709999
2022-05-16T12:00:00Z,0.0,48.15,-123.25,2.3497646
2022-05-16T12:00:00Z,0.0,48.15,-123.225,4.9922624
2022-05-16T12:00:00Z,0.0,48.15,-123.19999999999999,3.3708904
2022-05-16T12:00:00Z,0.0,48.15,-123.17500000000001,11.121286
2022-05-16T12:00:00Z,0.0,48.15,-123.15,NaN
2022-05-16T12:00:00Z,0.0,48.15,-123.125,NaN
2022-05-16T12:00:00Z,0.0,48.15,-123.1,5.977991
2022-05-16T12:00:00Z,0.0,48.15,-123.07499999999999,3.9148762
2022-05-16T12:00:00Z,0.0,48.15,-123.05000000000001,1.7893673
2022-05-16T12:00:00Z,0.0,48.15,-123.025,1.2226311
2022-05-16T12:00:00Z,0.0,48.15,-123.0,2.2314847
2022-05-16T12:00:00Z,0.0,48.15,-122.975,1.7710083
2022-05-16T12:00:00Z,0.0,48.15,-122.94999999999999,1.7879713
2022-05-16T12:00:00Z,0.0,48.15,-122.92500000000001,1.6701671
2022-05-16T12:00:00Z,0.0,48.15,-122.9,1.9094768
2022-05-16T12:00:00Z,0.0,48.15,-122.875,1.5718971
2022-05-16T12:00:00Z,0.0,48.15,-122.85,3.1236513
2022-05-16T12:00:00Z,0.0,48.15,-122.82499999999999,2.504953
2022-05-16T12:00:00Z,0.0,48.15,-122.80000000000001,12.426174
2022-05-16T12:00:00Z,0.0,48.15,-122.775,3.8802724
2022-05-16T12:00:00Z,0.0,48.15,-122.75,2.6074119
2022-05-16T12:00:00Z,0.0,48.15,-122.725,3.128654
2022-05-16T12:00:00Z,0.0,48.15,-122.69999999999999,12.143108
2022-05-16T12:00:00Z,0.0,48.175,-123.30000000000001,1.1591324
2022-05-16T12:00:00Z,0.0,48.175,-123.275,0.93968624
2022-05-16T12:00:00Z,0.0,48.175,-123.25,1.0520039
2022-05-16T12:00:00Z,0.0,48.175,-123.225,0.9823643
2022-05-16T12:00:00Z,0.0,48.175,-123.19999999999999,1.1909853
2022-05-16T12:00:00Z,0.0,48.175,-123.17500000000001,2.0744681
2022-05-16T12:00:00Z,0.0,48.175,-123.15,NaN
2022-05-16T12:00:00Z,0.0,48.175,-123.125,4.1866727
2022-05-16T12:00:00Z,0.0,48.175,-123.1,1.6320165
2022-05-16T12:00:00Z,0.0,48.175,-123.07499999999999,1.4471598
2022-05-16T12:00:00Z,0.0,48.175,-123.05000000000001,1.422529
2022-05-16T12:00:00Z,0.0,48.175,-123.025,1.1794301
2022-05-16T12:00:00Z,0.0,48.175,-123.0,1.4634358
2022-05-16T12:00:00Z,0.0,48.175,-122.975,7.1746936
2022-05-16T12:00:00Z,0.0,48.175,-122.94999999999999,1.5623151
2022-05-16T12:00:00Z,0.0,48.175,-122.92500000000001,1.8559259
2022-05-16T12:00:00Z,0.0,48.175,-122.9,1.9628937
2022-05-16T12:00:00Z,0.0,48.175,-122.875,1.8957282
2022-05-16T12:00:00Z,0.0,48.175,-122.85,1.9524122
